sample_index,timestamp,sensor_id,sensor_type,raw_value,reference_value,condition,gain,offset,drift_event
6,2026-09-22 00:30:00,C02,CO2,561.772,557.61,healthy,0.99494,5.01901,0
63,2026-09-22 05:15:00,H01,Humidity,50.61,49.613,healthy,1.01022,0.48954,0
24,2026-09-22 02:00:00,C01,CO2,693.631,681.814,healthy,1.01255,4.99502,0
156,2026-09-22 13:00:00,T02,Temperature,27.688,23.202,unhealthy,1.18362,0.21112,0
30,2026-09-22 02:30:00,H02,Humidity,42.697,42.198,healthy,0.99545,0.47366,0
2,2026-09-22 00:10:00,H02,Humidity,50.636,50.405,healthy,0.99619,0.50405,0
167,2026-09-22 13:55:00,T01,Temperature,22.916,22.884,healthy,0.99327,0.20402,0
184,2026-09-22 15:20:00,H02,Humidity,68.632,55.43,unhealthy,1.22901,0.44903,0
27,2026-09-22 02:15:00,H02,Humidity,42.791,42.311,healthy,0.99558,0.50719,0
119,2026-09-22 09:55:00,T02,Temperature,27.821,26.152,warning,1.05615,0.21965,0
5,2026-09-22 00:25:00,H02,Humidity,48.637,48.61,healthy,0.99242,0.50689,0
169,2026-09-22 14:05:00,T02,Temperature,29.571,23.952,unhealthy,1.22537,0.2018,0
54,2026-09-22 04:30:00,C02,CO2,525.743,517.892,healthy,1.00344,4.76993,0
178,2026-09-22 14:50:00,H01,Humidity,57.771,56.639,healthy,1.01113,0.50718,0
145,2026-09-22 12:05:00,C01,CO2,716.8,709.071,healthy,1.00375,4.73684,0
104,2026-09-22 08:40:00,T02,Temperature,29.474,26.982,warning,1.0856,0.19244,0
59,2026-09-22 04:55:00,H02,Humidity,53.942,53.474,healthy,0.99826,0.47498,0
145,2026-09-22 12:05:00,H02,Humidity,59.301,49.42,unhealthy,1.18866,0.52709,0
30,2026-09-22 02:30:00,H01,Humidity,45.352,44.696,healthy,0.99731,0.49244,0
53,2026-09-22 04:25:00,T01,Temperature,24.428,24.379,healthy,0.99355,0.20044,0
181,2026-09-22 15:05:00,H01,Humidity,58.663,58.117,healthy,1.00104,0.50661,0
95,2026-09-22 07:55:00,C01,CO2,810.37,794.745,healthy,1.01066,5.18952,0
101,2026-09-22 08:25:00,T02,Temperature,28.957,26.703,warning,1.07568,0.19515,0
36,2026-09-22 03:00:00,C01,CO2,808.009,799.179,healthy,1.00242,4.8585,0
107,2026-09-22 08:55:00,H02,Humidity,49.108,46.258,warning,1.04689,0.4827,0
12,2026-09-22 01:00:00,H02,Humidity,45.565,45.705,healthy,0.99138,0.47031,0
77,2026-09-22 06:25:00,C02,CO2,760.15,713.634,warning,1.05693,4.6879,0
47,2026-09-22 03:55:00,H02,Humidity,48.822,48.268,healthy,1.00658,0.47844,0
63,2026-09-22 05:15:00,T01,Temperature,23.528,23.324,healthy,1.0005,0.18859,0
104,2026-09-22 08:40:00,C01,CO2,768.565,759.196,healthy,1.00566,5.00778,0
